# RF1SHD words=256 bits=20 mux=2 
# drive=4 frequency=1.000
# ring width=2.000
name      	ff_1p32v_m55c		ff_1p65v_125c		tt_1p2v_25c		ss_1p08v_m55c	
S		N		N		N		N
geomx     	87.820    	87.820    	87.820    	87.820    
geomy     	303.390   	303.390   	303.390   	303.390   
ring_size 	6.240     	6.240     	6.240     	6.240     
volt      	1.320     	1.650     	1.200     	1.080     
temp      	-55.000   	125.000   	25.000    	-55.000   
tcyc      	1.606     	1.517     	3.984     	9.793     
ta        	1.272     	1.076     	3.076     	8.100     
tas       	0.328     	0.247     	0.808     	2.385     
tah       	0.005     	0.010     	0.028     	0.063     
tcs       	0.215     	0.195     	0.645     	1.875     
tch       	0.000     	0.000     	0.000     	0.000     
tws       	0.229     	0.189     	0.504     	1.475     
twh       	0.000     	0.000     	0.000     	0.000     
tds       	0.117     	0.095     	0.355     	1.246     
tdh       	0.096     	0.091     	0.012     	0.000     
tckh      	0.175     	0.165     	0.355     	0.712     
tckl      	0.204     	0.175     	0.585     	1.654     
tckr      	1.500     	1.500     	1.500     	1.500     
icap_a    	0.012     	0.012     	0.013     	0.013     
icap_d    	0.003     	0.003     	0.003     	0.003     
icap_clk  	0.054     	0.055     	0.057     	0.058     
icap_cen  	0.006     	0.006     	0.008     	0.008     
icap_wen  	0.017     	0.018     	0.018     	0.018     
load_q    	0.638     	0.562     	1.343     	3.331     
icc       	1.41E-2   	1.85E-2   	1.37E-2   	1.20E-2   
icc_r     	1.34E-2   	1.74E-2   	1.30E-2   	1.14E-2   
icc_w     	1.48E-2   	1.95E-2   	1.43E-2   	1.26E-2   
icc_peak  	6.910     	8.833     	5.886     	4.306     
icc_desel 	2.05E-3   	2.76E-3   	1.97E-3   	1.76E-3   
icc_standby	6.80E-5   	1.67E-2   	7.61E-5   	4.33E-5   
pwn_ck    	10.000    	10.000    	10.000    	10.000    
vn_ck     	0.746     	0.799     	0.654     	0.713     
vn_pwr    	0.132     	0.165     	0.120     	0.108     
vn_gnd    	0.132     	0.165     	0.120     	0.108     
